epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4408,1.08115,2.9462,1.03128,0.61491,0.72572,0.72269,0.55407,0.84603,1.31274,0.91805,0.000194917,0.000194917,0.000194917
2,23.709,1.00357,1.70644,0.99245,0.7795,0.81485,0.87273,0.66717,0.87043,0.94725,0.93635,0.000383177,0.000383177,0.000383177
3,33.6749,0.98425,1.44814,0.99084,0.82695,0.85875,0.91676,0.70441,0.88045,0.8806,0.94856,0.000563675,0.000563675,0.000563675
4,43.3876,0.97536,1.29645,0.99752,0.86878,0.87555,0.91431,0.71548,0.83381,0.78289,0.93975,0.000553073,0.000553073,0.000553073
5,53.0917,0.94235,1.15134,0.98199,0.87832,0.90816,0.94284,0.74755,0.81674,0.68176,0.92982,0.00054143,0.00054143,0.00054143
6,62.7694,0.92549,1.0449,0.98031,0.85141,0.9306,0.9442,0.74638,0.82287,0.68498,0.92797,0.000529788,0.000529788,0.000529788
7,72.5539,0.89948,0.95637,0.97411,0.86257,0.93044,0.94775,0.75005,0.79984,0.68539,0.92309,0.000518146,0.000518146,0.000518146
8,82.2534,0.87979,0.90267,0.96249,0.89781,0.8856,0.94241,0.75456,0.78384,0.64817,0.91306,0.000506503,0.000506503,0.000506503
9,92.0094,0.87365,0.86,0.96504,0.92123,0.93141,0.96643,0.76951,0.80718,0.59451,0.92542,0.000494861,0.000494861,0.000494861
10,101.653,0.86434,0.8157,0.96427,0.93453,0.90924,0.9592,0.77499,0.78718,0.59753,0.92585,0.000483218,0.000483218,0.000483218
11,111.266,0.85049,0.78087,0.95794,0.92058,0.93719,0.96356,0.77039,0.8103,0.58483,0.92093,0.000471576,0.000471576,0.000471576
12,120.604,0.84467,0.74145,0.95132,0.90355,0.95049,0.97037,0.78033,0.79353,0.55813,0.92009,0.000459934,0.000459934,0.000459934
13,130.13,0.83621,0.73194,0.95164,0.89941,0.91246,0.95821,0.77268,0.7833,0.57393,0.92671,0.000448291,0.000448291,0.000448291
14,139.777,0.82333,0.70779,0.94738,0.90984,0.92716,0.96297,0.77602,0.79713,0.54364,0.92937,0.000436649,0.000436649,0.000436649
15,149.463,0.8225,0.68742,0.9464,0.92203,0.91045,0.96246,0.77853,0.77968,0.53971,0.91296,0.000425006,0.000425006,0.000425006
